"URL","File Size","Outlinks","Content Tyoe"
"https://www.wsj.com/articles/u-s-sanctions-venezuelas-first-lady-1537913053","1053462","262","text/html"
"https://www.wsj.com/articles/brazils-gdp-rises-boosted-by-service-sector-and-government-spending-1535720151","1047917","260","text/html"
"https://www.wsj.com/articles/pope-defrocks-chilean-priest-accused-of-sexual-abuse-1538152566","1051237","264","text/html"
"https://www.wsj.com/video/browse/news","49446","108","text/html"
"https://www.wsj.com/articles/citys-affordable-housing-units-dwindled-since-2005-1537915298","1047708","258","text/html"
"https://www.wsj.com/articles/only-45-of-new-yorks-public-school-students-passed-states-english-and-math-tests-1537975304","1062120","261","text/html"
"https://www.wsj.com/articles/buyers-see-opportunity-as-sales-of-nyc-luxury-apartments-stay-sluggish-1538081260","1065371","260","text/html"
"https://www.wsj.com/video/myanmar-jails-reuters-journalists-investigating-rohingya-killings/670ABFFD-0C27-4DCA-A4B3-BBE872937996.html","77747","102","text/html"
"https://www.wsj.com/media/costas_paris.png","52886","0","image/png"
"https://www.wsj.com/news/types/shipping-matters","615584","243","text/html"
"https://www.wsj.com/amp/articles/shippings-new-arctic-routes-wont-thaw-cold-economic-reality-1537954385","51637","27","text/html"
"https://www.wsj.com/news/author/7986","581178","272","text/html"
"https://www.wsj.com/articles/state-officials-open-to-joint-probes-of-big-tech-companies-1537913021","1055813","269","text/html"
"https://www.wsj.com/articles/google-ceo-sundar-pichai-to-meet-with-top-gop-lawmakers-1537829900?mod=article_inline","1054172","266","text/html"
"https://www.wsj.com/amp/articles/state-officials-open-to-joint-probes-of-big-tech-companies-1537913021","53265","34","text/html"
"https://www.wsj.com/articles/facebooks-sandberg-and-twitters-dorsey-to-face-questions-on-capitol-hill-about-russian-meddling-bias-1536145201?mod=article_inline&page=1&pos=15","1067443","279","text/html"
"https://www.wsj.com/news/author/7287","430135","247","text/html"
"https://www.wsj.com/articles/trump-hammers-google-again-but-signals-against-regulation-1535589396?mod=article_inline","1051936","266","text/html"
"https://www.wsj.com/articles/britains-monetary-stimulus-has-fed-the-pension-crisis-1522364182","1048432","262","text/html"
"https://www.wsj.com/articles/unelected-power-review-monetary-mavericks-1530140590","1053907","260","text/html"
"https://www.wsj.com/articles/when-governments-refuse-to-choose-1523574473","1047264","261","text/html"
"https://www.wsj.com/articles/follow-the-moneyand-macrons-visionto-europes-future-1524784422","1047425","261","text/html"
"https://www.wsj.com/articles/finding-the-right-right-for-europe-1530830292","1046635","261","text/html"
"https://www.wsj.com/articles/post-lehman-sins-of-transmission-and-omission-1536879138","1047496","261","text/html"
"https://www.wsj.com/articles/the-eus-hungary-problem-is-the-eu-1519950434","1046195","261","text/html"
"https://www.wsj.com/articles/consumers-make-their-own-case-against-abolishing-cash-1521153384","1046689","261","text/html"
"http://www.wsj.com/news/author/8594","569315","271","text/html"
"https://www.wsj.com/articles/the-sick-man-of-europe-risks-a-relapse-1532038972","1047267","261","text/html"
"https://www.wsj.com/articles/dont-count-on-an-aging-germany-to-save-the-euro-1529623375","1046441","261","text/html"
"https://www.wsj.com/articles/how-an-accident-could-happen-in-britain-1538088491","1047243","261","text/html"
"https://www.wsj.com/articles/russia-in-central-america-again-1531074911","1050311","265","text/html"
"https://www.wsj.com/articles/the-truth-about-hurricane-maria-1537129890","1051042","264","text/html"
"https://www.wsj.com/articles/a-phony-peace-in-colombia-1537724764","1050094","266","text/html"
"https://www.wsj.com/articles/rule-of-law-wins-again-in-brazil-1531680648","1050465","263","text/html"
"https://www.wsj.com/articles/the-other-russian-meddling-1532290196","1049242","264","text/html"
"https://www.wsj.com/articles/guatemalas-president-defends-democracy-against-the-u-n-1536098714","1050353","263","text/html"
"http://www.wsj.com/news/author/8590","568223","270","text/html"
"https://www.wsj.com/articles/corruption-in-mexicos-anticorruption-party-1532889596","1049735","265","text/html"
"https://www.wsj.com/articles/canada-backtracks-on-a-carbon-tax-1534110070","1051918","270","text/html"
"https://www.wsj.com/articles/argentina-needs-to-dollarize-1536524297","1049243","264","text/html"
"https://www.wsj.com/articles/the-u-s-funds-guatemalan-abuse-1534707971","1048780","261","text/html"
"https://www.wsj.com/articles/the-rocky-path-to-a-new-nafta-1533496770","1049573","264","text/html"
"https://www.wsj.com/articles/does-health-care-need-to-cost-this-much-1533584842","1044386","257","text/html"
"https://www.wsj.com/articles/health-insurer-shuns-amniotic-tissue-product-from-mimedex-1534373411","1052052","266","text/html"
"https://www.wsj.com/articles/cadillac-tax-does-more-harm-than-good-1532444860","1046149","259","text/html"
"https://www.wsj.com/articles/surely-this-russian-hacking-is-frightening-1533050551","1044659","259","text/html"
"https://www.wsj.com/articles/health-care-stocks-lead-this-leg-of-rally-after-tech-giants-stumbles-1537867801","1099065","281","text/html"
"https://www.wsj.com/articles/tech-giants-pledge-to-ease-patient-provider-access-to-health-data-1534192429","1054860","273","text/html"
"https://www.wsj.com/articles/gm-cuts-different-type-of-health-care-deal-1533582121","1056706","270","text/html"
"https://www.wsj.com/articles/visium-founder-is-plotting-a-return-to-the-hedge-fund-industry-1536355858","1050802","263","text/html"
"https://www.wsj.com/articles/global-stocks-drop-as-currency-crisis-roils-turkey-1534146762","1073185","269","text/html"
"https://www.wsj.com/articles/rutgers-university-partners-with-n-j-health-care-system-in-1-billion-deal-1532480126","1046961","261","text/html"
"https://www.wsj.com/articles/why-americans-spend-so-much-on-health-carein-12-charts-1533047243","1422089","64","text/html"
"https://www.wsj.com/articles/global-stocks-mixed-ahead-of-fed-rate-decision-1537949633","1084380","269","text/html"
"http://www.wsj.com/public/page/archive-2018-3-28.html","179052","601","text/html"
"http://www.wsj.com/public/page/archive-2018-1-14.html","136561","511","text/html"
"http://www.wsj.com/public/page/archive-2018-8-31.html","183194","615","text/html"
"http://www.wsj.com/public/page/archive-2018-3-13.html","190728","629","text/html"
"http://www.wsj.com/public/page/archive-2018-2-26.html","173169","591","text/html"
"http://www.wsj.com/public/page/archive-2018-5-17.html","195373","637","text/html"
"http://www.wsj.com/public/page/archive-2018-7-06.html","183427","616","text/html"
"https://www.wsj.com/articles/whats-news-world-wide-1538104791","1036392","264","text/html"
"http://www.wsj.com/public/page/archive-2018-2-01.html","195393","637","text/html"
"http://www.wsj.com/public/page/archive-2018-4-15.html","155267","554","text/html"
"http://www.wsj.com/public/page/archive-2018-6-29.html","185541","621","text/html"
"http://www.wsj.com/public/page/archive-2018-8-08.html","192972","629","text/html"
"http://www.wsj.com/public/page/archive-2018-8-21.html","175354","595","text/html"
"http://www.wsj.com/public/page/archive-2018-3-03.html","135913","511","text/html"
"http://www.wsj.com/public/page/archive-2018-5-30.html","189152","623","text/html"
"https://www.wsj.com/articles/french-retailer-carrefour-denies-takeover-talks-with-rival-casino-1537771045","1074035","266","text/html"
